0.53	a
-1.47	a
0.02	a
-0.01	a
-1.20	a
1.10	a
0.34	a
-1.27	a
-0.82	a
1.48	a
0.55	a
0.62	a
0.88	a
0.67	a
-0.99	a
-0.54	a
0.75	a
1.07	a
-0.11	a
0.67	a
0.88	a
0.42	a
-0.09	a
1.96	a
-0.22	a
-0.82	a
0.25	a
-0.84	a
0.70	a
-1.01	a
0.37	a
0.84	a
-0.19	a
1.09	a
0.94	a
-0.80	a
1.05	a
0.52	a
0.10	a
-0.35	a
1.81	a
-0.54	a
-0.69	a
1.01	a
0.46	a
-0.48	a
-1.36	a
2.43	a
-0.01	a
0.38	a
-0.77	a
0.17	a
-1.09	a
-0.47	a
-2.40	a
-1.30	a
1.38	a
0.80	a
0.91	a
0.18	a
1.93	a
0.67	a
-0.51	a
0.27	a
-2.40	a
-1.86	a
-0.37	a
-0.74	a
0.12	a
0.53	a
-1.63	a
0.13	a
-0.17	a
2.76	a
-0.74	a
0.92	a
1.68	a
0.96	a
0.01	a
0.45	a
0.41	a
-0.46	a
-0.39	a
-0.93	a
2.07	a
0.77	a
1.81	a
-0.26	a
0.29	a
0.45	a
0.82	a
-0.61	a
0.19	a
1.27	a
-2.13	a
-0.83	a
0.69	a
-1.03	a
-1.79	a
-0.75	a
-0.87	a
1.46	a
-0.27	a
-0.79	a
-0.16	a
0.53	a
-0.25	a
0.30	a
-0.30	a
1.38	a
0.36	a
-1.55	a
0.81	a
-1.68	a
-0.69	a
0.66	a
-0.65	a
-1.13	a
-0.79	a
0.80	a
-0.26	a
-0.34	a
0.16	a
-0.18	a
-1.42	a
0.38	a
0.14	a
-0.29	a
-0.67	a
0.13	a
1.15	a
-1.13	a
-1.54	a
0.42	a
-0.44	a
0.10	a
-0.20	a
-1.54	a
0.92	a
0.28	a
-1.14	a
1.07	a
-0.82	a
-1.25	a
0.49	a
-0.22	a
-0.55	a
0.39	a
0.32	a
0.05	a
1.41	a
0.04	a
0.81	a
-0.55	a
-1.79	a
0.77	a
0.18	a
-0.50	a
-0.49	a
1.25	a
-0.09	a
1.13	a
2.05	a
-1.35	a
0.06	a
-0.86	a
-2.27	a
1.74	a
1.39	a
-0.16	a
1.55	a
1.22	a
-0.20	a
-1.00	a
2.06	a
1.52	a
0.18	a
0.24	a
-0.70	a
1.86	a
-0.67	a
2.12	a
-0.51	a
-0.85	a
0.64	a
-0.72	a
-1.13	a
1.20	a
-1.74	a
0.93	a
-0.33	a
1.36	a
-1.29	a
0.04	a
1.59	a
0.89	a
-0.87	a
-0.82	a
-0.98	a
1.42	a
-0.05	b
0.19	b
0.18	b
0.78	b
-1.14	b
-0.45	b
-0.74	b
-0.95	b
-0.72	b
2.22	b
-0.58	b
-2.37	b
-0.86	b
1.55	b
-0.12	b
1.10	b
-1.69	b
1.65	b
0.53	b
0.81	b
0.57	b
-0.98	b
0.88	b
2.62	b
0.56	b
-1.15	b
-0.43	b
0.48	b
1.59	b
-0.96	b
0.13	b
0.50	b
-1.89	b
-0.24	b
0.08	b
0.58	b
-0.67	b
-0.70	b
-1.59	b
0.22	b
-0.05	b
1.62	b
-1.05	b
2.11	b
-1.10	b
0.10	b
-0.81	b
-0.72	b
0.43	b
0.00	b
1.69	b
-0.69	b
0.05	b
-0.51	b
0.78	b
1.47	b
0.20	b
1.83	b
-0.23	b
-0.27	b
0.43	b
-0.47	b
0.83	b
0.41	b
1.60	b
-0.56	b
0.23	b
0.73	b
-1.08	b
0.44	b
1.22	b
1.91	b
1.01	b
1.49	b
-2.05	b
0.78	b
1.09	b
1.61	b
-0.29	b
-0.75	b
-0.58	b
-0.60	b
2.18	b
1.47	b
0.01	b
0.92	b
0.90	b
-0.55	b
-0.89	b
-0.68	b
0.23	b
-0.90	b
0.79	b
-1.28	b
0.02	b
-1.48	b
-0.05	b
-1.16	b
-0.89	b
2.11	b
-1.59	b
-1.09	b
-1.55	b
-0.17	b
0.21	b
-0.01	b
0.53	b
-0.30	b
0.96	b
0.56	b
0.59	b
0.16	b
-0.83	b
1.86	b
0.98	b
-0.29	b
2.47	b
1.12	b
3.14	b
0.06	b
-0.79	b
-0.28	b
0.21	b
-1.04	b
2.16	b
-0.50	b
1.48	b
-0.13	b
-0.69	b
-0.46	b
0.09	b
0.42	b
-0.97	b
-0.61	b
-0.91	b
0.70	b
-0.52	b
2.02	b
-1.24	b
